Feature,Importance
GarageYrBlt_1957.0,0.00032409924
GarageYrBlt_1966.0,0.0003240959
Foundation_BrkTil,0.00031771333
Exterior2nd_Stucco,0.00031577802
HouseStyle_1.5Fin,0.00031233378
GarageYrBlt_1908.0,0.00031062355
YmSold_2009-7,0.00030882802
GarageType_2Types,0.00030697958
GarageYrBlt_1988.0,0.0003042534
GarageYrBlt_1975.0,0.00029259242
Foundation_PConc,0.00029095326
Exterior2nd_Plywood,0.00028893928
GarageYrBlt_1976.0,0.00028707774
MSSubClass_1-STORY 1946 & NEWER ALL STYLES,0.00028493244
GarageYrBlt_1986.0,0.00028488395
RoofStyle_Gambrel,0.00027519296
GarageType_Detchd,0.00027457136
YmSold_2006-9,0.00027162366
YmSold_2009-10,0.0002710098
MoSold,0.00026909908
Condition1_RRAn,0.0002658053
YmSold_2010-3,0.0002612329
YmSold_2008-2,0.00024955312
MSZoning_RH,0.00024379154
YmSold_2008-9,0.0002427239
GarageYrBlt_1962.0,0.00024122307
MasVnrType_BrkFace,0.00024122278
YmSold_2006-11,0.00023844991
YmSold_2006-2,0.00023128183
GarageYrBlt_1951.0,0.00022985906
SaleType_ConLw,0.00022534133
GarageCars_1.0,0.00022182215
Fence_None,0.00021980758
Electrical_FuseA,0.00021096312
YmSold_2010-2,0.00020994812
GarageYrBlt_1989.0,0.00020455496
Exterior1st_Plywood,0.00020185858
Exterior1st_MetalSd,0.00020089443
LandContour_Low,0.0001979847
GarageYrBlt_1956.0,0.00019634195
GarageYrBlt_1941.0,0.00018765054
Fence_MnWw,0.00018603183
GarageYrBlt_1940.0,0.00018513038
Electrical_SBrkr,0.00018490377
MSSubClass_1-STORY PUD 1946 & NEWER,0.00017575521
MSSubClass_1-1/2 STORY FINISHED ALL AGES,0.00017550254
YmSold_2009-9,0.0001748359
Foundation_CBlock,0.00016446442
GarageYrBlt_1922.0,0.00015725849
GarageYrBlt_1968.0,0.00014496525
GarageYrBlt_2004.0,0.00013647068
GarageYrBlt_1995.0,0.00013150166
ClassSc_S_2-STORY 1945 & OLDER,0.00012274201
SaleType_ConLD,0.000106739804
YmSold_2008-11,6.854124e-05
GarageYrBlt_1993.0,5.0638402e-05
MSSubClass_2-1/2 STORY ALL AGES,4.9556485e-05
GarageYrBlt_1980.0,4.3191954e-05
GarageYrBlt_1953.0,3.6474372e-05
Condition2_Norm,2.8589082e-05
LandContour_Bnk,2.7673153e-05
MSSubClass_2 FAMILY CONVERSION - ALL STYLES AND AGES,1.9813255e-05
ClassSc_S_1-1/2 STORY - UNFINISHED ALL AGES,1.9306199e-05
LotConfig_FR3,5.9569866e-06
GarageYrBlt_1947.0,1.7551014e-06
MSSubClass_1-STORY W/FINISHED ATTIC ALL AGES,1.6818102e-06
MSSubClass_1-1/2 STORY - UNFINISHED ALL AGES,1.3502805e-06
MSSubClass_1-1/2 STORY PUD - ALL AGES,0.0
MSSubClass_PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,0.0
MSZoning_C (all),0.0
MSZoning_I (all),0.0
Alley_Grvl,0.0
Alley_None,0.0
LandSlope_Sev,0.0
Condition1_RRNe,0.0
Condition1_RRNn,0.0
Condition2_Artery,0.0
Condition2_Feedr,0.0
Condition2_PosA,0.0
Condition2_PosN,0.0
Condition2_RRAe,0.0
Condition2_RRAn,0.0
Condition2_RRNn,0.0
BldgType_2fmCon,0.0
BldgType_Duplex,0.0
BldgType_Twnhs,0.0
HouseStyle_1.5Unf,0.0
HouseStyle_2.5Fin,0.0
HouseStyle_SFoyer,0.0
HouseStyle_SLvl,0.0
RoofStyle_Flat,0.0
RoofStyle_Shed,0.0
RoofMatl_Metal,0.0
RoofMatl_Roll,0.0
RoofMatl_WdShake,0.0
RoofMatl_WdShngl,0.0
Exterior1st_AsphShn,0.0
Exterior1st_BrkComm,0.0
Exterior1st_CBlock,0.0
Exterior1st_ImStucc,0.0
Exterior1st_PreCast,0.0
Exterior1st_Stucco,0.0
Exterior1st_WdShing,0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_CmentBd,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_Stone,0.0
Exterior2nd_Wd Shng,0.0
MasVnrType_BrkCmn,0.0
Foundation_Slab,0.0
Foundation_Stone,0.0
Foundation_Wood,0.0
Heating_GasA,0.0
