,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,RoofStyle,Exterior1st,Electrical,ClassPr_S,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,LowQualFinSF,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageFinish,GarageCars,PavedDrive,MoSold,SaleCondition,Latitude,Longitude,LF_median,DistanceFromCenter,total_baths,TotalPorchSF,TotalFinSF,MSSubClass
LotArea,964.5047700986788,804.8252689513556,28.831880318811045,0.0,181.37440613528594,9.007631739685195,347.4352965012564,22.832907915734324,0.0,0.0,265.12062778200453,923.2637052642076,562.4266279671956,799.3121959143646,142.37141488599082,70.24965381859238,914.4596323068901,10.955409432358593,80.38543024147893,240.2345635933773,444.8722869935805,132.40589441123336,448.04741780396853,39.19371632410639,574.1511690973846,119.10356144351715,31.37216055245824,265.84474701771614,650.9401948140317,44.681913045351735,164.41122317442887,226.1726467872365,956.1429749163831,99.2380174137989,43.87022647487572,60.49459567122176,410.4847738545561,327.4489334512291,406.42591988213644,66.1074206595415,308.8432617376511,300.76213599912603,411.97598335937437,292.03428364360616
LotShape,104.24071366427677,723.6231556324383,23.963907056046992,16.557972808718556,89.47359441574457,150.01422488937052,170.79819059830163,8.037074624254217,0.0,348.6369466891647,0.0,5.327626356667679,166.5968658420711,495.9740653899562,168.42482140551328,95.61923476436027,848.6991471420223,15.647830827904244,118.41119630201646,143.755282351951,193.78457388855895,110.48585515069044,299.04888887513334,225.51371635476653,154.4228293290937,70.8625820776665,3.4651541346235035,279.0698966692353,767.0325242448425,7.913774458085413,138.20127762870152,478.22471240140777,332.8226029562152,36.39297319370368,106.74252343705643,119.66868462668447,596.188154653765,289.29412095370526,218.3198056642657,80.82572220329689,135.7944687387046,139.38128549761655,285.47962161392206,468.19343531652294
OverallQual,233.13191877611735,2462.5008568621397,28.687269056925288,0.0,373.42224317941486,8.622927125848094,537.0603767497049,1.2226647421740893,0.0,371.1744632998866,34.10293977599879,0.0,609.5774422374616,2415.2092539837995,172.37554439332507,247.1643451814939,4053.082845170422,56.06549340921377,92.12290384459956,1105.4527709959543,481.6957901386445,130.48632468425012,574.3719165164975,35.20030004545765,856.8050741554104,140.7833894781482,24.428678069096037,82.60737325645948,1243.579471870933,258.1329056721396,1125.8094123583292,513.3717549669475,1371.8425610201389,0.7259000953476971,80.89900816513489,96.75897902256645,453.95620556599306,2.1640594638347466,135.3337078680063,678.834398916476,213.63407227806283,241.14334731741178,1085.2118772724316,32.269512013164785
OverallCond,116.65424098777953,1152.3502749090885,91.80706056919166,0.0,199.54776915360355,30.411397642622916,222.08688688849008,3.59623138809971,0.0,100.82440972727272,99.66250665194514,139.51669838794987,0.0,2870.1414769518356,1746.0770103269037,21.33154061558389,399.13148791096717,86.07719238022686,248.65426109566647,317.1756587744202,348.52910964832176,358.501601822476,172.63168873817085,425.43867635837614,151.963598567477,257.3982677211768,2.844490611693111,262.98556440605796,55.01649456388759,251.832250235885,189.93152095020696,150.38741220459363,55.47645364662185,108.84267291831742,3.9301512522852136,21.360435525769276,270.78337410550535,222.2999731303628,203.44214607807885,414.4829188618328,156.11133958390133,12.066496504025281,119.58727717184593,260.0477935615031
YearBuilt,63.90222607673843,1621.5403716479068,203.88545085660257,5.240290555148785,75.51987984852457,157.9545832615738,562.6842707190175,22.535351311639346,0.0,68.99574313326684,30.221999484744913,70.2805822132741,596.0944166744612,0.0,1501.2930210386035,83.74983788592908,525.4980190040254,60.7350355431651,955.1773202393861,463.14078058707344,138.70009193990927,74.00858286915286,196.8628774636818,83.80620954890901,252.96458577909334,85.56824455371691,20.722449642085977,74.79377308751828,308.0162968429386,78.72427820762937,354.98746269619824,359.9196624040474,451.38608257642227,289.8238391048027,44.67850106206981,80.52716077239393,735.4200513595008,24.037290193288754,292.15754768508486,18.418521454140773,106.29820110976061,453.00080335086454,524.267301051892,285.5033764626655
YearRemodAdd,49.91460905269935,918.2395834970421,15.494715862276962,0.0,71.3634010694812,47.545539367530665,4.220337504246004,11.092331310786918,0.0,313.05337242312453,34.78587640863624,96.4627389157431,836.3189918543394,976.6799129675474,0.0,111.58271685583668,23.84472981383618,0.7820447019361865,88.76965561018093,259.76884709075205,201.0028953417475,156.45624725865287,379.79427394104096,202.397956188099,294.58503990477084,24.86945629238585,6.4281739474489115,394.9393033529609,606.4087560398057,1.5385435006404578,193.58021577568843,85.73194399910699,139.07116750142768,28.061521978266498,91.135096406162,83.96172351579992,256.7912171097728,159.41886987682483,139.64573186671532,84.44630547451811,83.20533454789756,243.52296493297126,446.64285383411334,212.5319380835076
MasVnrArea,38.92642048231437,587.3659051362993,95.36687866532498,0.0,22.370043610199104,125.97714905034397,114.20106358848898,23.857966634042683,0.0,354.76880003525093,89.24102524443379,620.2905439871429,515.9470722926008,127.71793792987864,551.2315957527562,0.0,771.6954894023264,153.55256360562504,210.85402823294135,228.52920750526414,307.6221515940472,147.07472153768583,374.2436177441532,14.67324780592935,691.0871381744764,53.694009515367384,2.614988458035313,162.2352241577869,221.80104282146112,56.45521298775395,167.76400822994128,247.3806476041065,392.0085427864733,75.19654594384636,23.231099649859857,9.384999603680285,332.5982921086977,134.67781062993686,256.8018765658345,198.88205472224217,83.02020840970226,129.69655836450806,573.2999175652621,268.69457575655633
ExterQual,0.485742896065517,1200.7818053105157,10.398767539836854,0.0,85.46395727939057,19.931899334389072,238.05449927544976,21.879035217979336,0.0,205.10502146854924,127.4218144736229,406.4561571076392,497.65192671805016,289.12299053611423,364.25887633490765,88.69333741634046,0.0,48.53124055454633,111.91759746856454,128.23664466755167,314.2058017679103,11.30375591572988,51.09507046961335,340.70807605257824,61.63136990547309,17.67224129876365,4.782795285714812,316.35812607622756,592.9181421920098,62.33885839951631,262.4796787174687,229.5535808497662,322.5667293043789,21.26391980840765,96.09385746761802,18.643303580465044,76.28858687848151,148.81827106586184,287.04747109365996,147.32284554606304,284.59552142249277,394.55976940046753,171.6446555868606,248.46186357527654
ExterCond,35.440629724561745,559.0558699834155,65.91703586615654,0.0,94.75177608672323,211.42876811114482,238.36607721267717,30.378246274508697,0.0,354.98008492595454,97.49971292592204,585.2022719530305,305.2176515664669,160.87543444290532,337.0058020001079,82.89774158011437,499.2581807752234,0.0,42.22680518392862,201.95889663434195,207.8642666918813,120.81754045923492,226.75613062511366,188.39170203667845,353.21104871247235,88.12987876433601,1.4119542043844788,235.15573739672266,439.2133826913873,94.47932300495779,191.91278565802986,52.164093175623805,254.43682365796667,12.825219815106607,40.335829466189466,46.921326312472615,309.7433844588859,276.9549088928841,291.6524543061739,88.13072443413284,155.83444999208996,342.4331661754493,418.30375565117356,63.081498473982265
Foundation,38.161859319117866,572.4235135186636,39.72071570810522,9.37145190627579,7.235533397444669,100.98807640578943,355.781925009121,22.00516833060962,0.0,497.2640754560898,68.54754363325958,319.67164942473937,359.7446914389593,148.69870608226756,105.96821322656615,145.44591238298221,616.110960372271,95.76922528275479,0.0,276.72555210710755,139.80237517293563,6.189021508004316,234.83202774446,93.04540503219778,249.287580910815,140.43186099169714,0.23553124083961308,240.80819761348357,467.5586138904205,81.58640299836338,252.92920310865748,158.41434615757163,492.64831357170124,25.24652788103998,57.53729006773494,6.091567223062839,288.44025935843774,242.17592165681458,373.5460380909958,226.08572173486255,290.43338658675384,307.27457561299343,645.0773386981855,124.8734945597073
